City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Fallon,1,US,1603843392,16,39.47,-118.78,287.15,2.6
Saint-philippe,0,RE,1603843151,64,-21.36,55.77,295.15,1.5
Qaanaaq,87,GL,1603843148,80,77.48,-69.36,261.58,5.61
Ushuaia,40,AR,1603843131,39,-54.8,-68.3,281.15,3.6
Bredasdorp,100,ZA,1603843392,82,-34.53,20.04,290.15,2.1
Khatanga,50,RU,1603843129,90,71.97,102.5,252.34,4.74
Codrington,63,AU,1603843145,76,-38.27,141.97,288.61,2.54
Butaritari,100,KI,1603843133,65,3.07,172.79,300.43,1.46
Kavaratti,88,IN,1603843393,76,10.57,72.64,300.42,3.24
Rawson,71,AR,1603843393,33,-43.3,-65.1,288.44,5.58
Cabo san lucas,40,MX,1603843311,57,22.89,-109.91,300.15,4.1
Dondo,40,MZ,1603843394,88,-19.61,34.74,296.15,1.5
Iqaluit,90,CA,1603843394,73,63.75,-68.51,266.15,1.5
Dumai,91,ID,1603843395,92,1.68,101.45,297.6,1.42
Bluff,10,NZ,1603843395,67,-46.6,168.33,287.59,1.34
The valley,40,AI,1603843395,78,18.22,-63.06,300.93,4.6
Myra,0,IT,1603843396,93,45.44,12.13,284.15,2.6
Mataura,4,NZ,1603843396,67,-46.19,168.86,287.59,1.34
Haimen,0,CN,1603843396,94,23.19,116.61,293.15,9.26
Vaini,4,TO,1603843126,76,-21.2,-175.2,296.06,12.1
Busselton,14,AU,1603843126,91,-33.65,115.33,288.15,3.69
Santa fe,0,AR,1603843397,63,-31.63,-60.7,292.59,3.49
Farap,40,TM,1603843397,64,39.17,63.61,277.86,4.84
Tamiahua,100,MX,1603843398,82,21.27,-97.45,298.19,3.38
Castro,0,BR,1603843142,63,-24.79,-50.01,289.1,1.71
Nikolskoye,90,RU,1603843139,87,59.7,30.79,284.26,4
Dali,10,CN,1603843398,86,25.7,100.18,286.57,0.38
Pisco,0,PE,1603842864,77,-13.7,-76.22,291.15,8.7
Opuwo,12,NA,1603843180,55,-18.06,13.84,290.09,1.57
Zunyi,100,CN,1603843399,85,27.69,106.91,285.65,3.01
Tuktoyaktuk,90,CA,1603843130,85,69.45,-133.04,263.15,6.2
Nyurba,100,RU,1603843184,87,63.28,118.33,261.78,1.73
Port alfred,39,ZA,1603843126,87,-33.59,26.89,290.78,6.41
Paita,8,PE,1603843399,85,-5.09,-81.11,291.32,6.32
Lorengau,95,PG,1603843179,63,-2.02,147.27,303.1,0.47
Porto novo,40,BJ,1603843400,88,6.5,2.6,300.15,4.6
Tougue,100,GN,1603843400,45,11.47,-11.6,293.04,0.52
Hofn,100,IS,1603842936,81,64.25,-15.21,276.63,9.52
Airai,27,TL,1603843139,75,-8.93,125.41,294.42,1.14
Cape town,75,ZA,1603842989,82,-33.93,18.42,290.93,3.1
Albany,100,US,1603843128,80,42.6,-73.97,282.04,0.89
Mahebourg,3,MU,1603843138,80,-20.41,57.7,294.26,1.34
Salamanca,90,ES,1603843401,87,40.83,-6,284.26,2.1
Cumberland,40,US,1603843208,73,35.05,-78.87,295.15,1.5
Sao miguel do araguaia,67,BR,1603843401,73,-13.28,-50.16,299.77,2.8
Kapaa,75,US,1603843132,69,22.08,-159.32,302.04,2.6
Ambikapur,0,IN,1603843402,49,23.12,83.2,290.55,1.51
Pevek,100,RU,1603843128,97,69.7,170.31,266.41,5.34
Geraldton,90,AU,1603842864,60,-28.77,114.6,293.15,7.7
Waingapu,92,ID,1603843197,64,-9.66,120.26,301.8,3.77
Awjilah,3,LY,1603843194,39,29.11,21.29,294.94,5.15
Kavieng,92,PG,1603843126,65,-2.57,150.8,302.45,1.14
Nioro,0,GM,1603843403,60,13.35,-15.75,297.91,1.56
Scottsbluff,1,US,1603843403,63,41.87,-103.67,271.48,3.6
Cuamba,47,MZ,1603843190,74,-14.8,36.54,294.28,0.78
Souillac,4,MU,1603843149,80,-20.52,57.52,294.26,0.89
Chokurdakh,100,RU,1603843144,97,70.63,147.92,262.22,1.26
